frame,whole_area,white_area,black_area,white_area_ratio
558,3410268,58391,3351877,1.712211474
559,3410268,72388,3337880,2.122648425
560,3410268,69981,3340287,2.052067462
561,3410268,61642,3348626,1.807541225
562,3410268,78327,3331941,2.296798961
563,3410268,48514,3361754,1.422586143
564,3410268,56085,3354183,1.644592155
565,3410268,79945,3330323,2.344243913
566,3410268,58630,3351638,1.719219721
567,3410268,58917,3351351,1.727635482
568,3410268,64342,3345926,1.886713889
569,3410268,49139,3361129,1.440913148
570,3410268,72927,3337341,2.138453635
571,3410268,81689,3328579,2.395383589
572,3410268,62718,3347550,1.839092998
573,3410268,60471,3349797,1.773203748
574,3410268,60827,3349441,1.78364281
575,3410268,51757,3358511,1.517681308
576,3410268,58948,3351320,1.728544501
577,3410268,66389,3343879,1.946738497
578,3410268,99704,3310564,2.923641192
579,3410268,66058,3344210,1.937032515
580,3410268,78792,3331476,2.310434253
581,3410268,67521,3342747,1.979932369
582,3410268,71675,3338593,2.101740978
583,3410268,74612,3335656,2.187863241
584,3410268,88462,3321806,2.593989681
585,3410268,94117,3316151,2.759812425
586,3410268,74352,3335916,2.180239207
587,3410268,68772,3341496,2.016615703
588,3410268,53882,3356386,1.579993127
589,3410268,58115,3352153,1.704118269
590,3410268,86850,3323418,2.546720668
591,3410268,63194,3347074,1.853050845
592,3410268,62711,3347557,1.838887736
593,3410268,80088,3330180,2.348437132
594,3410268,76394,3333874,2.240117199
595,3410268,57127,3353141,1.675146939
596,3410268,45483,3364785,1.333707497
597,3410268,47184,3363084,1.383586275
598,3410268,49455,3360813,1.450179282
599,3410268,51115,3359153,1.498855808
600,3410268,90600,3319668,2.656682701
601,3410268,58229,3352039,1.707461114
602,3410268,56542,3353726,1.657992862
603,3410268,65454,3344814,1.919321297
604,3410268,72472,3337796,2.125111575
605,3410268,62695,3347573,1.838418564
606,3410268,60212,3350056,1.765609037
607,3410268,47894,3362374,1.404405753
608,3410268,44416,3365852,1.302419634
609,3410268,54359,3355909,1.593980297
610,3410268,47648,3362620,1.397192244
611,3410268,41358,3368910,1.212749262
612,3410268,40436,3369832,1.185713264
613,3410268,80811,3329457,2.369637811
614,3410268,47522,3362746,1.39349752
615,3410268,59704,3350564,1.750712847
616,3410268,34575,3375693,1.013849938
617,3410268,38287,3371981,1.122697688
618,3410268,43851,3366417,1.285852021
619,3410268,64428,3345840,1.889235685
620,3410268,86094,3324174,2.524552323
621,3410268,77455,3332813,2.271229123
622,3410268,54745,3355523,1.605299056
623,3410268,89890,3320378,2.635863222
624,3410268,63557,3346711,1.86369517
625,3410268,36746,3373522,1.077510624
626,3410268,35608,3374660,1.044140812
627,3410268,46806,3363462,1.372502102
628,3410268,46664,3363604,1.368338207
629,3410268,70872,3339396,2.078194441
630,3410268,43684,3366584,1.280955045
631,3410268,66693,3343575,1.955652752
632,3410268,39082,3371186,1.146009639
633,3410268,41011,3369257,1.202574109
634,3410268,38306,3371962,1.123254829
635,3410268,50541,3359727,1.482024287
636,3410268,45313,3364955,1.328722552
637,3410268,74914,3335354,2.19671885
638,3410268,51015,3359253,1.495923488
639,3410268,55044,3355224,1.614066695
640,3410268,43071,3367197,1.262979918
641,3410268,92639,3317629,2.716472723
642,3410268,44381,3365887,1.301393322
643,3410268,38501,3371767,1.128972855
644,3410268,48410,3361858,1.419536529
645,3410268,55400,3354868,1.624505757
646,3410268,52337,3357931,1.534688769
647,3410268,43877,3366391,1.286614424
648,3410268,38929,3371339,1.141523188
649,3410268,44297,3365971,1.298930172
650,3410268,107103,3303165,3.140603612
651,3410268,69610,3340658,2.041188552
652,3410268,70423,3339845,2.06502832
653,3410268,61279,3348989,1.796896901
654,3410268,42490,3367778,1.245943134
655,3410268,39654,3370614,1.162782514
656,3410268,43012,3367256,1.261249849
657,3410268,73513,3336755,2.155637035
658,3410268,40607,3369661,1.190727532
659,3410268,37500,3372768,1.099620323
660,3410268,50435,3359833,1.478916027
661,3410268,50820,3359448,1.490205462
662,3410268,42884,3367384,1.257496478
663,3410268,38874,3371394,1.139910412
664,3410268,47101,3363167,1.381152449
665,3410268,37943,3372325,1.112610505
666,3410268,44177,3366091,1.295411387
667,3410268,43943,3366325,1.288549756
668,3410268,46026,3364242,1.34963
669,3410268,40560,3369708,1.189349341
670,3410268,45885,3364383,1.345495427
671,3410268,53875,3356393,1.579787864
672,3410268,50737,3359531,1.487771636
673,3410268,41435,3368833,1.215007149
674,3410268,43563,3366705,1.277406937
675,3410268,54023,3356245,1.584127699
676,3410268,51346,3358922,1.50562947
677,3410268,47828,3362440,1.402470422
678,3410268,59373,3350895,1.741006865
679,3410268,65362,3344906,1.916623562
680,3410268,72843,3337425,2.135990485
681,3410268,71322,3338946,2.091389885
682,3410268,50530,3359738,1.481701731
683,3410268,79408,3330860,2.32849735
684,3410268,57346,3352922,1.681568721
685,3410268,57093,3353175,1.67414995
686,3410268,54303,3355965,1.592338197
687,3410268,50281,3359987,1.474400252
688,3410268,72423,3337845,2.123674738
689,3410268,48172,3362096,1.412557605
690,3410268,72867,3337401,2.136694242
691,3410268,82802,3327466,2.42802032
692,3410268,63864,3346404,1.872697395
693,3410268,45858,3364410,1.344703701
694,3410268,51019,3359249,1.49604078
695,3410268,77000,3333268,2.257887063
696,3410268,86886,3323382,2.547776304
697,3410268,63322,3346946,1.856804216
698,3410268,53743,3356525,1.575917201
699,3410268,59195,3351073,1.735787334
700,3410268,49948,3360320,1.464635624
701,3410268,55939,3354329,1.640310967
702,3410268,65747,3344521,1.927912997
703,3410268,124229,3286039,3.642792883
704,3410268,48322,3361946,1.416956087
705,3410268,52747,3357521,1.546711285
706,3410268,42180,3368088,1.236852939
707,3410268,61893,3348375,1.814901351
708,3410268,86620,3323648,2.53997633
709,3410268,63933,3346335,1.874720696
710,3410268,96815,3313453,2.838926442
711,3410268,95866,3314402,2.811098717
712,3410268,102740,3307528,3.012666453
713,3410268,89268,3321000,2.617624187
714,3410268,62659,3347609,1.837362929
715,3410268,97113,3313155,2.847664758
716,3410268,72752,3337516,2.133322073
717,3410268,76516,3333752,2.24369463
718,3410268,68361,3341907,2.004563864
719,3410268,56944,3353324,1.669780791
720,3410268,65596,3344672,1.923485192
721,3410268,59466,3350802,1.743733924
722,3410268,76890,3333378,2.25466151
723,3410268,89583,3320685,2.626860997
724,3410268,119297,3290971,3.498170818
725,3410268,107133,3303135,3.141483309
726,3410268,105114,3305154,3.08227975
727,3410268,137783,3272485,4.040239653
728,3410268,133243,3277025,3.907112286
729,3410268,150063,3260205,4.400328655
730,3410268,208953,3201315,6.12717241
731,3410268,239848,3170420,7.03311294
732,3410268,190215,3220053,5.577714127
733,3410268,193378,3216890,5.670463436
734,3410268,227925,3182343,6.683492324
735,3410268,406593,3003675,11.92261136
736,3410268,385958,3024310,11.31752695
